IATI Element,Description,Field required?
`IATI activity identifier <https://iatistandard.org/en/guidance/standard-overview/preparing-your-data/activity-information/creating-iati-identifiers/>`_,Constructed with the Reporting Organisation unique identifier and the organisation’s chosen activity number,Mandatory
Other activity identifier,An internal reference number for the activity,
Reporting organisation,Unique identifier and name of organisation reporting the activity,Mandatory
Title,Title of the activity,Mandatory
Description,Meaningful description of the activity (minimum short paragraph),Mandatory
`Activity status <https://iatistandard.org/en/guidance/standard-guidance/activity-dates-status/>`_,Status of the activity (Pipeline/Implementation/…),Mandatory
`Activity date <https://iatistandard.org/en/guidance/standard-guidance/activity-dates-status/>`_,Planned start and end dates of the activity,Mandatory
`Participating organisation <https://iatistandard.org/en/guidance/standard-guidance/activity-participants/>`_,"Funding - the organisation(s) funding the project.

Implementing - the organisation carrying out the actual work of the project.

Accountable - the organisation responsible for managing the delivery of the project.",Mandatory
`Recipient country <https://iatistandard.org/en/guidance/standard-guidance/countries-regions/>`_,"The country or countries that benefit from the activity – i.e. where impact is felt. These should be eligible for Official Development Assistance (ODA) and may differ from the location of the activity.

For example, activities undertaken in the territory of the donor country (e.g. research scholarships, training courses) should be assigned to individual recipient countries where the services are performed for the benefit of those countries",Recommended
`Recipient region <https://iatistandard.org/en/guidance/standard-guidance/countries-regions/>`_,"The region(s) that benefit from the activity (if in addition to, or more relevant than specifying recipient countries)

Note: Multiple countries and regions can be reported, in which case the percentage attribute must be used to specify the share of total commitments across all reported countries and regions. When using percentages, all percentages across countries and regions must add up to 100%",Recommended
Location,Location of the activity or its beneficiaries on a sub-national level,Optional
`Sector <https://iatistandard.org/en/guidance/standard-guidance/activity-thematic-focus/>`_,,Mandatory
Tag,,Optional
`Humanitarian Scope <https://iatistandard.org/en/guidance/standard-guidance/humanitarian/>`_,,Optional
`Budget <https://iatistandard.org/en/guidance/standard-guidance/activity-budgets/>`_,,Recommended
Planned Disbursements,,Optional
`Transactions <https://iatistandard.org/en/guidance/standard-guidance/financial-transactions/>`_,,Recommended
Contact Info,Contact address and email for the reporting organisation. [can be generic enquiry email address],Recommended
Activity Scope,"The geographical scope of the activity: regional, national, subnational, etc",Optional
Policy Marker,,Recommended
Collaboration Type,,Optional
Default Flow Type,,Optional
Default Finance Type,,Optional
Default Aid Type,,Optional
Default Tied Status,,Optional
Document Link,"Documents relating to the activity including project proposal, Theory of Change, reports, pictures, project updates etc.",Optional
Related Activity,Another separately reported IATI activity that is related to this one.,Optional
Legacy Data,"The legacy data element allows for the reporting of values held in a field in the reporting organisation’s system which is similar, but not identical to an IATI element",Optional
Conditions,Information on the conditions for the project,Optional
`Result <https://iatistandard.org/en/guidance/standard-guidance/results/>`_,"Data on results and indicators of the project

Please take note of the following requirements:

1. Where possible, indicator values should be numeric.

2. For each indicator the baseline, target and actual values are mandatory. This is essential to assess the progress.",Optional